company_name;location;logo;title;Category;description;requirement;updated_at;contract_type;url
Soma Group;Takhmao;https://media.everjobs.com.kh/storage//company/46/1246/image//soma-group.png;Accounting Officer (Takmao);Accounting / Finance ;- Compile financial data and process a bookkeeping into accounting reporting system compiled to set accounting policies and procedures of SMT<br/>- Check and verify on all documents related to incomes and expenses making sure that it is correctly reported and submitted.<br/>- Bookkeeping all the transactions into accounting software (Sage ERP 300)<br/>- Petty cash control and monitor bank transaction<br/>- Collect bank statement and Reconcile bank statement with the cash book and with the system<br/>- Prepare annual budget plan<br/>- Collaborate with internal and external auditors<br/>- Produce monthly and annually financial statements<br/>- Perform other accounting tasks as assigned by finance/accounting manager.;- Bachelor’s degree in Accounting, Finance or related fields<br/>- At least 2 year experience in accounting or related experience is advantage<br/>- Good knowledge of accounting software: SAGE, Peachtree or QuickBooks<br/>- Knowledge about the inventory accounting system<br/>- Have knowledge of computer skill: Microsoft Office (Word, Excel, Power point…)<br/>- Good knowledge of English both speaking and writing<br/>- Be flexible, challenging, honest, reliable, patient, hard-working and high responsibilities<br/>- Ability to handle multitask and to work in a fast pace work environment<br/>- Good attitude, communication and interpersonal skill.;27 June 2016;Full time;https://www.everjobs.com.kh/en/employer/soma-group/accounting-officer-takmao.html
Soma Group;Phnom Penh;https://media.everjobs.com.kh/storage//company/46/1246/image//soma-group.png;Accounting Officer (PP);Accounting / Finance ;- Compile financial data and process a bookkeeping into accounting reporting system compiled to set accounting policies and procedures of SMT<br/>- Check and verify on all documents related to incomes and expenses making sure that it is correctly reported and submitted.<br/>- Bookkeeping all the transactions into accounting software (Sage ERP 300)<br/>- Petty cash control and monitor bank transaction<br/>- Collect bank statement and Reconcile bank statement with the cash book and with the system<br/>- Prepare annual budget plan<br/>- Collaborate with internal and external auditors<br/>- Produce monthly and annually financial statements<br/>- Perform other accounting tasks as assigned by finance/accounting manager.;- Bachelor’s degree in Accounting, Finance or related fields<br/>- At least 2 year experience in accounting or related experience is advantage<br/>- Good knowledge of accounting software: SAGE, Peachtree or QuickBooks<br/>- Knowledge about the inventory accounting system<br/>- Have knowledge of computer skill: Microsoft Office (Word, Excel, Power point…)<br/>- Good knowledge of English both speaking and writing<br/>- Be flexible, challenging, honest, reliable, patient, hard-working and high responsibilities<br/>- Ability to handle multitask and to work in a fast pace work environment<br/>- Good attitude, communication and interpersonal skill.;27 June 2016;Full time;https://www.everjobs.com.kh/en/employer/soma-group/accounting-officer-pp.html
MOHANOKOR;Svay Rieng;https://media.everjobs.com.kh/storage//company/67/1567/image//mohanokor.jpg;មន្ត្រីឥណទាន Credit Officer (Svay Rieng);Accounting / Finance ;- សិក្សា និង អនុវត្តឲ្យបានល្អ ត្រឹមត្រូវ ច្បាស់លាស់ និងអភិវឌ្ឍឲ្យទាន់សម័យជានិច្ចនូវគោលការណ៍ នីតិវិធី និងសេចក្តីណែនាំនានា ដែលពាក់ព័ន្ធនឹងតួនាទីឲ្យមានប្រសិទ្ធភាពខ្ពស់ ។<br/>- អនុវត្តកិច្ចការឥណទានក្នុងតំបន់ដែលខ្លួនទទួលខុសត្រូវដោយធានាអនុវត្តឱ្យបានត្រឹមត្រូវ ច្បាស់លាស់ប្រកបដោយប្រសិទ្ធភាពខ្ពស់ក្នុងនោះរួមមាន ៖ ការចុះផ្សព្វផ្សាយ ការបញ្ចេញឥណទាន ការប្រមូលឥណទាន និងការដោះស្រាយបំណុល។<br/>- ទំនាក់ទំនងល្អជាមួយបុគ្គលិក មហានគរ អតិថិជន និងអាជ្ញាធរមូដ្នាន ដើម្បីកសាងនូវកេរ្តិ៍ឈ្មោះវប្បធម៌ល្អប្រពៃរបស់ស្ថាប័ន។<br/>- ការងារពាក់ព័ន្ធផ្សេងៗទៀតត្រូវបែងចែកដោយប្រធានសាមី;- កម្រិតវប្បធម៌បញ្ចប់សញ្ញាបត្រមធ្យមសិក្សាទុតិយភូមិ និង ជានិសិត្សសាកលវិទ្យាល័យឆ្នាំទី២ ឡើងទៅ<br/>- មានអាយុចាប់ពី១៨ឆ្នាំ រហូតដល់ ៣០ឆ្នាំ<br/>- ជានីតិជន ដែលមានសញ្ជាតិខ្មែរ<br/>- អាចប្រើប្រាស់ភាសាអង់គ្លេស និងកម្មវិធីកំព្យូរទ័រ (Ms.Office)<br/>- មានលក្ខណសម្បត្តិសមរម្យ ការប្រាស្រ័យទាក់ទងល្អ និងមានឥរិយាបថចេះបម្រើអតិថិជន<br/>- មានភាពស្មោះត្រង់ ម៉ឹងម៉ាត់ និងឆន្ទៈខ្ពស់ក្នុងការងារ ។<br/>+ Benefit:<br/>- ប្រាក់បៀវត្សសមរម្យ និងប្រាក់លើកទឹកចិត្តប្រចាំឆ្នាំ<br/>- ប្រាក់ឧបត្ថម្ភការសិក្សាជំនាញបន្ថែម<br/>- ប្រាក់ឧបត្ថម្ភលំហែរមាតុភាព (បុគ្គលិកនារី)<br/>- ប្រាក់ឧបត្ថម្ភតំបន់ (សម្រាប់សាខាឆ្ងាយ)<br/>- ប្រាក់បុព្វលាភសម្រាប់បុណ្យចូលឆ្នាំប្រពៃណី និងបុណ្យភ្ជុំបិណ្ឌ<br/>- ផ្តល់កន្លែងស្នាក់នៅឲ្យបុគ្គលិកបម្រើការងារតាមបណ្តាខេត្តនានា<br/>- ធានារ៉ាប់រងគ្រោះថ្នាក់ ២៤ម៉ោង/២៤ម៉ោង<br/>- ផ្តល់ការបណ្តុះបណ្តាលជំនាញការងារ;27 June 2016;;https://www.everjobs.com.kh/en/employer/mohanokor/credit-officer-svay-rieng-3.html
MOHANOKOR;Kampong Chhnang;https://media.everjobs.com.kh/storage//company/67/1567/image//mohanokor.jpg;មន្ត្រីឥណទាន Credit Officer (Kampong Chhnang);Accounting / Finance ;- សិក្សា និង អនុវត្តឲ្យបានល្អ ត្រឹមត្រូវ ច្បាស់លាស់ និងអភិវឌ្ឍឲ្យទាន់សម័យជានិច្ចនូវគោលការណ៍ នីតិវិធី និងសេចក្តីណែនាំនានា ដែលពាក់ព័ន្ធនឹងតួនាទីឲ្យមានប្រសិទ្ធភាពខ្ពស់ ។<br/>- អនុវត្តកិច្ចការឥណទានក្នុងតំបន់ដែលខ្លួនទទួលខុសត្រូវដោយធានាអនុវត្តឱ្យបានត្រឹមត្រូវ ច្បាស់លាស់ប្រកបដោយប្រសិទ្ធភាពខ្ពស់ក្នុងនោះរួមមាន ៖ ការចុះផ្សព្វផ្សាយ ការបញ្ចេញឥណទាន ការប្រមូលឥណទាន និងការដោះស្រាយបំណុល។<br/>- ទំនាក់ទំនងល្អជាមួយបុគ្គលិក មហានគរ អតិថិជន និងអាជ្ញាធរមូដ្នាន ដើម្បីកសាងនូវកេរ្តិ៍ឈ្មោះវប្បធម៌ល្អប្រពៃរបស់ស្ថាប័ន។<br/>- ការងារពាក់ព័ន្ធផ្សេងៗទៀតត្រូវបែងចែកដោយប្រធានសាមី;- កម្រិតវប្បធម៌បញ្ចប់សញ្ញាបត្រមធ្យមសិក្សាទុតិយភូមិ និង ជានិសិត្សសាកលវិទ្យាល័យឆ្នាំទី២ ឡើងទៅ<br/>- មានអាយុចាប់ពី១៨ឆ្នាំ រហូតដល់ ៣០ឆ្នាំ<br/>- ជានីតិជន ដែលមានសញ្ជាតិខ្មែរ<br/>- អាចប្រើប្រាស់ភាសាអង់គ្លេស និងកម្មវិធីកំព្យូរទ័រ (Ms.Office)<br/>- មានលក្ខណសម្បត្តិសមរម្យ ការប្រាស្រ័យទាក់ទងល្អ និងមានឥរិយាបថចេះបម្រើអតិថិជន<br/>- មានភាពស្មោះត្រង់ ម៉ឹងម៉ាត់ និងឆន្ទៈខ្ពស់ក្នុងការងារ ។<br/>+ Benefit:<br/>- ប្រាក់បៀវត្សសមរម្យ និងប្រាក់លើកទឹកចិត្តប្រចាំឆ្នាំ<br/>- ប្រាក់ឧបត្ថម្ភការសិក្សាជំនាញបន្ថែម<br/>- ប្រាក់ឧបត្ថម្ភលំហែរមាតុភាព (បុគ្គលិកនារី)<br/>- ប្រាក់ឧបត្ថម្ភតំបន់ (សម្រាប់សាខាឆ្ងាយ)<br/>- ប្រាក់បុព្វលាភសម្រាប់បុណ្យចូលឆ្នាំប្រពៃណី និងបុណ្យភ្ជុំបិណ្ឌ<br/>- ផ្តល់កន្លែងស្នាក់នៅឲ្យបុគ្គលិកបម្រើការងារតាមបណ្តាខេត្តនានា<br/>- ធានារ៉ាប់រងគ្រោះថ្នាក់ ២៤ម៉ោង/២៤ម៉ោង<br/>- ផ្តល់ការបណ្តុះបណ្តាលជំនាញការងារ;27 June 2016;;https://www.everjobs.com.kh/en/employer/mohanokor/credit-officer-kampong-chhnang-6.html
MOHANOKOR;Pursat;https://media.everjobs.com.kh/storage//company/67/1567/image//mohanokor.jpg;មន្ត្រីឥណទាន Credit Officer (Pursat);Accounting / Finance ;- សិក្សា និង អនុវត្តឲ្យបានល្អ ត្រឹមត្រូវ ច្បាស់លាស់ និងអភិវឌ្ឍឲ្យទាន់សម័យជានិច្ចនូវគោលការណ៍ នីតិវិធី និងសេចក្តីណែនាំនានា ដែលពាក់ព័ន្ធនឹងតួនាទីឲ្យមានប្រសិទ្ធភាពខ្ពស់ ។<br/>- អនុវត្តកិច្ចការឥណទានក្នុងតំបន់ដែលខ្លួនទទួលខុសត្រូវដោយធានាអនុវត្តឱ្យបានត្រឹមត្រូវ ច្បាស់លាស់ប្រកបដោយប្រសិទ្ធភាពខ្ពស់ក្នុងនោះរួមមាន ៖ ការចុះផ្សព្វផ្សាយ ការបញ្ចេញឥណទាន ការប្រមូលឥណទាន និងការដោះស្រាយបំណុល។<br/>- ទំនាក់ទំនងល្អជាមួយបុគ្គលិក មហានគរ អតិថិជន និងអាជ្ញាធរមូដ្នាន ដើម្បីកសាងនូវកេរ្តិ៍ឈ្មោះវប្បធម៌ល្អប្រពៃរបស់ស្ថាប័ន។<br/>- ការងារពាក់ព័ន្ធផ្សេងៗទៀតត្រូវបែងចែកដោយប្រធានសាមី;- កម្រិតវប្បធម៌បញ្ចប់សញ្ញាបត្រមធ្យមសិក្សាទុតិយភូមិ និង ជានិសិត្សសាកលវិទ្យាល័យឆ្នាំទី២ ឡើងទៅ<br/>- មានអាយុចាប់ពី១៨ឆ្នាំ រហូតដល់ ៣០ឆ្នាំ<br/>- ជានីតិជន ដែលមានសញ្ជាតិខ្មែរ<br/>- អាចប្រើប្រាស់ភាសាអង់គ្លេស និងកម្មវិធីកំព្យូរទ័រ (Ms.Office)<br/>- មានលក្ខណសម្បត្តិសមរម្យ ការប្រាស្រ័យទាក់ទងល្អ និងមានឥរិយាបថចេះបម្រើអតិថិជន<br/>- មានភាពស្មោះត្រង់ ម៉ឹងម៉ាត់ និងឆន្ទៈខ្ពស់ក្នុងការងារ ។<br/>+ Benefit:<br/>- ប្រាក់បៀវត្សសមរម្យ និងប្រាក់លើកទឹកចិត្តប្រចាំឆ្នាំ<br/>- ប្រាក់ឧបត្ថម្ភការសិក្សាជំនាញបន្ថែម<br/>- ប្រាក់ឧបត្ថម្ភលំហែរមាតុភាព (បុគ្គលិកនារី)<br/>- ប្រាក់ឧបត្ថម្ភតំបន់ (សម្រាប់សាខាឆ្ងាយ)<br/>- ប្រាក់បុព្វលាភសម្រាប់បុណ្យចូលឆ្នាំប្រពៃណី និងបុណ្យភ្ជុំបិណ្ឌ<br/>- ផ្តល់កន្លែងស្នាក់នៅឲ្យបុគ្គលិកបម្រើការងារតាមបណ្តាខេត្តនានា<br/>- ធានារ៉ាប់រងគ្រោះថ្នាក់ ២៤ម៉ោង/២៤ម៉ោង<br/>- ផ្តល់ការបណ្តុះបណ្តាលជំនាញការងារ;27 June 2016;;https://www.everjobs.com.kh/en/employer/mohanokor/credit-officer-pursat-3.html
MOHANOKOR;Kampong Speu;https://media.everjobs.com.kh/storage//company/67/1567/image//mohanokor.jpg;មន្ត្រីឥណទាន Credit Officer (Kampong Speu);Accounting / Finance ;- សិក្សា និង អនុវត្តឲ្យបានល្អ ត្រឹមត្រូវ ច្បាស់លាស់ និងអភិវឌ្ឍឲ្យទាន់សម័យជានិច្ចនូវគោលការណ៍ នីតិវិធី និងសេចក្តីណែនាំនានា ដែលពាក់ព័ន្ធនឹងតួនាទីឲ្យមានប្រសិទ្ធភាពខ្ពស់ ។<br/>- អនុវត្តកិច្ចការឥណទានក្នុងតំបន់ដែលខ្លួនទទួលខុសត្រូវដោយធានាអនុវត្តឱ្យបានត្រឹមត្រូវ ច្បាស់លាស់ប្រកបដោយប្រសិទ្ធភាពខ្ពស់ក្នុងនោះរួមមាន ៖ ការចុះផ្សព្វផ្សាយ ការបញ្ចេញឥណទាន ការប្រមូលឥណទាន និងការដោះស្រាយបំណុល។<br/>- ទំនាក់ទំនងល្អជាមួយបុគ្គលិក មហានគរ អតិថិជន និងអាជ្ញាធរមូដ្នាន ដើម្បីកសាងនូវកេរ្តិ៍ឈ្មោះវប្បធម៌ល្អប្រពៃរបស់ស្ថាប័ន។<br/>- ការងារពាក់ព័ន្ធផ្សេងៗទៀតត្រូវបែងចែកដោយប្រធានសាមី;- កម្រិតវប្បធម៌បញ្ចប់សញ្ញាបត្រមធ្យមសិក្សាទុតិយភូមិ និង ជានិសិត្សសាកលវិទ្យាល័យឆ្នាំទី២ ឡើងទៅ<br/>- មានអាយុចាប់ពី១៨ឆ្នាំ រហូតដល់ ៣០ឆ្នាំ<br/>- ជានីតិជន ដែលមានសញ្ជាតិខ្មែរ<br/>- អាចប្រើប្រាស់ភាសាអង់គ្លេស និងកម្មវិធីកំព្យូរទ័រ (Ms.Office)<br/>- មានលក្ខណសម្បត្តិសមរម្យ ការប្រាស្រ័យទាក់ទងល្អ និងមានឥរិយាបថចេះបម្រើអតិថិជន<br/>- មានភាពស្មោះត្រង់ ម៉ឹងម៉ាត់ និងឆន្ទៈខ្ពស់ក្នុងការងារ ។<br/>+ Benefit:<br/>- ប្រាក់បៀវត្សសមរម្យ និងប្រាក់លើកទឹកចិត្តប្រចាំឆ្នាំ<br/>- ប្រាក់ឧបត្ថម្ភការសិក្សាជំនាញបន្ថែម<br/>- ប្រាក់ឧបត្ថម្ភលំហែរមាតុភាព (បុគ្គលិកនារី)<br/>- ប្រាក់ឧបត្ថម្ភតំបន់ (សម្រាប់សាខាឆ្ងាយ)<br/>- ប្រាក់បុព្វលាភសម្រាប់បុណ្យចូលឆ្នាំប្រពៃណី និងបុណ្យភ្ជុំបិណ្ឌ<br/>- ផ្តល់កន្លែងស្នាក់នៅឲ្យបុគ្គលិកបម្រើការងារតាមបណ្តាខេត្តនានា<br/>- ធានារ៉ាប់រងគ្រោះថ្នាក់ ២៤ម៉ោង/២៤ម៉ោង<br/>- ផ្តល់ការបណ្តុះបណ្តាលជំនាញការងារ;27 June 2016;;https://www.everjobs.com.kh/en/employer/mohanokor/credit-officer-kampong-speu-4.html
MOHANOKOR;Kampong Thom;https://media.everjobs.com.kh/storage//company/67/1567/image//mohanokor.jpg;មន្ត្រីឥណទាន Credit Officer (Kampong Thom);Accounting / Finance ;- សិក្សា និង អនុវត្តឲ្យបានល្អ ត្រឹមត្រូវ ច្បាស់លាស់ និងអភិវឌ្ឍឲ្យទាន់សម័យជានិច្ចនូវគោលការណ៍ នីតិវិធី និងសេចក្តីណែនាំនានា ដែលពាក់ព័ន្ធនឹងតួនាទីឲ្យមានប្រសិទ្ធភាពខ្ពស់ ។<br/>- អនុវត្តកិច្ចការឥណទានក្នុងតំបន់ដែលខ្លួនទទួលខុសត្រូវដោយធានាអនុវត្តឱ្យបានត្រឹមត្រូវ ច្បាស់លាស់ប្រកបដោយប្រសិទ្ធភាពខ្ពស់ក្នុងនោះរួមមាន ៖ ការចុះផ្សព្វផ្សាយ ការបញ្ចេញឥណទាន ការប្រមូលឥណទាន និងការដោះស្រាយបំណុល។<br/>- ទំនាក់ទំនងល្អជាមួយបុគ្គលិក មហានគរ អតិថិជន និងអាជ្ញាធរមូដ្នាន ដើម្បីកសាងនូវកេរ្តិ៍ឈ្មោះវប្បធម៌ល្អប្រពៃរបស់ស្ថាប័ន។<br/>- ការងារពាក់ព័ន្ធផ្សេងៗទៀតត្រូវបែងចែកដោយប្រធានសាមី;- កម្រិតវប្បធម៌បញ្ចប់សញ្ញាបត្រមធ្យមសិក្សាទុតិយភូមិ និង ជានិសិត្សសាកលវិទ្យាល័យឆ្នាំទី២ ឡើងទៅ<br/>- មានអាយុចាប់ពី១៨ឆ្នាំ រហូតដល់ ៣០ឆ្នាំ<br/>- ជានីតិជន ដែលមានសញ្ជាតិខ្មែរ<br/>- អាចប្រើប្រាស់ភាសាអង់គ្លេស និងកម្មវិធីកំព្យូរទ័រ (Ms.Office)<br/>- មានលក្ខណសម្បត្តិសមរម្យ ការប្រាស្រ័យទាក់ទងល្អ និងមានឥរិយាបថចេះបម្រើអតិថិជន<br/>- មានភាពស្មោះត្រង់ ម៉ឹងម៉ាត់ និងឆន្ទៈខ្ពស់ក្នុងការងារ ។<br/>+ Benefit:<br/>- ប្រាក់បៀវត្សសមរម្យ និងប្រាក់លើកទឹកចិត្តប្រចាំឆ្នាំ<br/>- ប្រាក់ឧបត្ថម្ភការសិក្សាជំនាញបន្ថែម<br/>- ប្រាក់ឧបត្ថម្ភលំហែរមាតុភាព (បុគ្គលិកនារី)<br/>- ប្រាក់ឧបត្ថម្ភតំបន់ (សម្រាប់សាខាឆ្ងាយ)<br/>- ប្រាក់បុព្វលាភសម្រាប់បុណ្យចូលឆ្នាំប្រពៃណី និងបុណ្យភ្ជុំបិណ្ឌ<br/>- ផ្តល់កន្លែងស្នាក់នៅឲ្យបុគ្គលិកបម្រើការងារតាមបណ្តាខេត្តនានា<br/>- ធានារ៉ាប់រងគ្រោះថ្នាក់ ២៤ម៉ោង/២៤ម៉ោង<br/>- ផ្តល់ការបណ្តុះបណ្តាលជំនាញការងារ;27 June 2016;;https://www.everjobs.com.kh/en/employer/mohanokor/credit-officer-kampong-thom-4.html
MOHANOKOR;Kampong Cham;https://media.everjobs.com.kh/storage//company/67/1567/image//mohanokor.jpg;មន្ត្រីឥណទាន Credit Officer (Kampong Cham);Accounting / Finance ;- សិក្សា និង អនុវត្តឲ្យបានល្អ ត្រឹមត្រូវ ច្បាស់លាស់ និងអភិវឌ្ឍឲ្យទាន់សម័យជានិច្ចនូវគោលការណ៍ នីតិវិធី និងសេចក្តីណែនាំនានា ដែលពាក់ព័ន្ធនឹងតួនាទីឲ្យមានប្រសិទ្ធភាពខ្ពស់ ។<br/>- អនុវត្តកិច្ចការឥណទានក្នុងតំបន់ដែលខ្លួនទទួលខុសត្រូវដោយធានាអនុវត្តឱ្យបានត្រឹមត្រូវ ច្បាស់លាស់ប្រកបដោយប្រសិទ្ធភាពខ្ពស់ក្នុងនោះរួមមាន ៖ ការចុះផ្សព្វផ្សាយ ការបញ្ចេញឥណទាន ការប្រមូលឥណទាន និងការដោះស្រាយបំណុល។<br/>- ទំនាក់ទំនងល្អជាមួយបុគ្គលិក មហានគរ អតិថិជន និងអាជ្ញាធរមូដ្នាន ដើម្បីកសាងនូវកេរ្តិ៍ឈ្មោះវប្បធម៌ល្អប្រពៃរបស់ស្ថាប័ន។<br/>- ការងារពាក់ព័ន្ធផ្សេងៗទៀតត្រូវបែងចែកដោយប្រធានសាមី;- កម្រិតវប្បធម៌បញ្ចប់សញ្ញាបត្រមធ្យមសិក្សាទុតិយភូមិ និង ជានិសិត្សសាកលវិទ្យាល័យឆ្នាំទី២ ឡើងទៅ<br/>- មានអាយុចាប់ពី១៨ឆ្នាំ រហូតដល់ ៣០ឆ្នាំ<br/>- ជានីតិជន ដែលមានសញ្ជាតិខ្មែរ<br/>- អាចប្រើប្រាស់ភាសាអង់គ្លេស និងកម្មវិធីកំព្យូរទ័រ (Ms.Office)<br/>- មានលក្ខណសម្បត្តិសមរម្យ ការប្រាស្រ័យទាក់ទងល្អ និងមានឥរិយាបថចេះបម្រើអតិថិជន<br/>- មានភាពស្មោះត្រង់ ម៉ឹងម៉ាត់ និងឆន្ទៈខ្ពស់ក្នុងការងារ ។<br/>+ Benefit:<br/>- ប្រាក់បៀវត្សសមរម្យ និងប្រាក់លើកទឹកចិត្តប្រចាំឆ្នាំ<br/>- ប្រាក់ឧបត្ថម្ភការសិក្សាជំនាញបន្ថែម<br/>- ប្រាក់ឧបត្ថម្ភលំហែរមាតុភាព (បុគ្គលិកនារី)<br/>- ប្រាក់ឧបត្ថម្ភតំបន់ (សម្រាប់សាខាឆ្ងាយ)<br/>- ប្រាក់បុព្វលាភសម្រាប់បុណ្យចូលឆ្នាំប្រពៃណី និងបុណ្យភ្ជុំបិណ្ឌ<br/>- ផ្តល់កន្លែងស្នាក់នៅឲ្យបុគ្គលិកបម្រើការងារតាមបណ្តាខេត្តនានា<br/>- ធានារ៉ាប់រងគ្រោះថ្នាក់ ២៤ម៉ោង/២៤ម៉ោង<br/>- ផ្តល់ការបណ្តុះបណ្តាលជំនាញការងារ;27 June 2016;;https://www.everjobs.com.kh/en/employer/mohanokor/credit-officer-kampong-cham-4.html
MOHANOKOR;Kandal;https://media.everjobs.com.kh/storage//company/67/1567/image//mohanokor.jpg;មន្ត្រីឥណទាន Credit Officer (Kandal);Accounting / Finance ;- សិក្សា និង អនុវត្តឲ្យបានល្អ ត្រឹមត្រូវ ច្បាស់លាស់ និងអភិវឌ្ឍឲ្យទាន់សម័យជានិច្ចនូវគោលការណ៍ នីតិវិធី និងសេចក្តីណែនាំនានា ដែលពាក់ព័ន្ធនឹងតួនាទីឲ្យមានប្រសិទ្ធភាពខ្ពស់ ។<br/>- អនុវត្តកិច្ចការឥណទានក្នុងតំបន់ដែលខ្លួនទទួលខុសត្រូវដោយធានាអនុវត្តឱ្យបានត្រឹមត្រូវ ច្បាស់លាស់ប្រកបដោយប្រសិទ្ធភាពខ្ពស់ក្នុងនោះរួមមាន ៖ ការចុះផ្សព្វផ្សាយ ការបញ្ចេញឥណទាន ការប្រមូលឥណទាន និងការដោះស្រាយបំណុល។<br/>- ទំនាក់ទំនងល្អជាមួយបុគ្គលិក មហានគរ អតិថិជន និងអាជ្ញាធរមូដ្នាន ដើម្បីកសាងនូវកេរ្តិ៍ឈ្មោះវប្បធម៌ល្អប្រពៃរបស់ស្ថាប័ន។<br/>- ការងារពាក់ព័ន្ធផ្សេងៗទៀតត្រូវបែងចែកដោយប្រធានសាមី;- កម្រិតវប្បធម៌បញ្ចប់សញ្ញាបត្រមធ្យមសិក្សាទុតិយភូមិ និង ជានិសិត្សសាកលវិទ្យាល័យឆ្នាំទី២ ឡើងទៅ<br/>- មានអាយុចាប់ពី១៨ឆ្នាំ រហូតដល់ ៣០ឆ្នាំ<br/>- ជានីតិជន ដែលមានសញ្ជាតិខ្មែរ<br/>- អាចប្រើប្រាស់ភាសាអង់គ្លេស និងកម្មវិធីកំព្យូរទ័រ (Ms.Office)<br/>- មានលក្ខណសម្បត្តិសមរម្យ ការប្រាស្រ័យទាក់ទងល្អ និងមានឥរិយាបថចេះបម្រើអតិថិជន<br/>- មានភាពស្មោះត្រង់ ម៉ឹងម៉ាត់ និងឆន្ទៈខ្ពស់ក្នុងការងារ ។<br/>+ Benefit:<br/>- ប្រាក់បៀវត្សសមរម្យ និងប្រាក់លើកទឹកចិត្តប្រចាំឆ្នាំ<br/>- ប្រាក់ឧបត្ថម្ភការសិក្សាជំនាញបន្ថែម<br/>- ប្រាក់ឧបត្ថម្ភលំហែរមាតុភាព (បុគ្គលិកនារី)<br/>- ប្រាក់ឧបត្ថម្ភតំបន់ (សម្រាប់សាខាឆ្ងាយ)<br/>- ប្រាក់បុព្វលាភសម្រាប់បុណ្យចូលឆ្នាំប្រពៃណី និងបុណ្យភ្ជុំបិណ្ឌ<br/>- ផ្តល់កន្លែងស្នាក់នៅឲ្យបុគ្គលិកបម្រើការងារតាមបណ្តាខេត្តនានា<br/>- ធានារ៉ាប់រងគ្រោះថ្នាក់ ២៤ម៉ោង/២៤ម៉ោង<br/>- ផ្តល់ការបណ្តុះបណ្តាលជំនាញការងារ;27 June 2016;;https://www.everjobs.com.kh/en/employer/mohanokor/credit-officer-kandal-7.html
WORLD FRIEND TOURS;Phnom Penh;https://media.everjobs.com.kh/storage//company/69/3869/image//logo1.jpg;ACCOUNTANT;Accounting / Finance ;- Receive daily payment<br/>- Control customer due payment<br/>- Control the departmental budgets<br/>- Check daily invoices and cash payments<br/>- Prepare and control daily expense, weekly expense and monthly expense<br/>- Record and check daily, weekly and monthly revenue<br/>- Prepare bank reconciliation<br/>- Prepare financial reports for management<br/>- Prepare monthly tax declaration<br/>- Assist the management in the budget control<br/>- Do other duties by the management requirement;- Holder of Bachelor degree in accounting or finance<br/>- At least 1 year experience in the accounting field<br/>- Hard working and self-motivated person<br/>- Honest, reliable, loyal, responsible and very good team work<br/>- Good interpersonal and communication skills<br/>- Able to work under pressure<br/>- Able to work independently<br/>- Able to communicate in English both verbal a<br/>- Good knowledge of Microsoft office<br/>- Able to use Pechtree<br/>- Knowledge of other accounting software is a plus<br/>We are offered the competition salary. If candidate interests please submit your CVs before 25th July 2015 to World Friend Tour’s address: #184, St. 63 (Tra Sark Pa Em), Sangkat Boueng Keng Kong I, Khan Chamkamon, Phnom Penh. Or send to our mail address solina@w-friend.com<br/>For further information please contact us directly by phone number: 01769 60 63 / 071 3222 804 / 070 820 567;25 June 2016;Full time;https://www.everjobs.com.kh/en/employer/world-friend-tours/accountant-577.html
First Solutions ( Cambodia) Co., Ltd;Phnom Penh;https://media.everjobs.com.kh/storage//company/44/3044/image//fs-logo.png;Account Assistant Manager ( $600-$800 ) at PPSEZ Area.;Accounting / Finance ;- Tax Paining<br/>- Deal with Tax Officers, Tax auditor<br/>- Tax Declaration to the General Department of Taxation<br/>- Review the Tax Executive’s job done and ensure the correctness of the Data Prepared<br/>- Other Tasks which are assigned by Superiors;- Male / Female<br/>- Able to work at PPSEZ Area<br/>- Working in audit firm before is preferable<br/>- Strong Knowledge and Experiences in Taxation<br/>- Good Knowledge of PC Skill in Term of Accounting System<br/>- Good command of English.;25 June 2016;Full time;https://www.everjobs.com.kh/en/employer/first-solutions-cambodia-co-ltd/account-assistant-manager-600-800-at-ppsez-area-1.html
SC capital Co., LTD;Phnom Penh;https://media.everjobs.com.kh/storage//company/76/3176/image//img_4441.png;Accountant (Experience or Fresh Graduate);Accounting / Finance ;- Collect money from money collectors<br/>- Maintain all account documents<br/>- Issuing invoice and contact with customers on related work<br/>- Closing Account receivable of express clearance<br/>- Carry out other duties requested by accountant<br/>- Processing document to Tax Department;- Undergraduate or Fresh Graduate in Accounting major<br/>- Maintain one year experience in accounting is a plus<br/>- Be honest, reliable, and trustable<br/>- Be willing to learn and fast learning ability<br/>- Good command in English proficiency<br/><br/><br/>Benefit and Working conditions<br/>- Working time from 9AM – 6PM, Mon – Fri/ Sat (half)<br/>- Public Holidays and Annual Leave<br/>- Insurance 24Hour Coverage<br/>- Training<br/>- Staff Party and Trip;24 June 2016;Full time;https://www.everjobs.com.kh/en/employer/sc-capital-co-ltd/accountant-experience-or-fresh-graduate.html
